OriginIndex   DestinationIndex    Date   Time   TravelDistance   TravelDuration
1   2   5-8-2019   06:00   7.945   25.75   
1   3   5-8-2019   06:00   5.594   21.067   
1   4   5-8-2019   06:00   4.259   18.267   
1   5   5-8-2019   06:00   11.949   34.067   
1   6   5-8-2019   06:00   11.652   38.367   
1   7   5-8-2019   06:00   9.974   29.7   
1   8   5-8-2019   06:00   10.628   31.55   
1   9   5-8-2019   06:00   10.012   31.033   
1   10   5-8-2019   06:00   40.391   71.433   
1   11   5-8-2019   06:00   15.411   41.167   
1   12   5-8-2019   06:00   14.131   38.433   
1   13   5-8-2019   06:00   14.139   37.65   
1   14   5-8-2019   06:00   12.819   33.9   
1   15   5-8-2019   06:00   11.905   32.85   
1   16   5-8-2019   06:00   15.196   39.933   
1   17   5-8-2019   06:00   13.753   35.367   
1   18   5-8-2019   06:00   16.384   43.033   
1   19   5-8-2019   06:00   15.595   42.217   
1   20   5-8-2019   06:00   15.645   40.983   
1   21   5-8-2019   06:00   15.63   41.3   
1   22   5-8-2019   06:00   17.26   44.583   
1   23   5-8-2019   06:00   17.938   46.417   
1   24   5-8-2019   06:00   17.829   44.467   
1   25   5-8-2019   06:00   17.008   41.683   
1   26   5-8-2019   06:00   18.47   48.15   
1   27   5-8-2019   06:00   18.555   48.833   
1   28   5-8-2019   06:00   19.405   48.517   
1   29   5-8-2019   06:00   19.71   62.767   
1   30   5-8-2019   06:00   18.149   46.283   
1   31   5-8-2019   06:00   19.502   49.467   
1   32   5-8-2019   06:00   19.811   52.05   
1   33   5-8-2019   06:00   19.041   49.55   
1   34   5-8-2019   06:00   18.784   48.567   
1   35   5-8-2019   06:00   20.299   48.1   
1   36   5-8-2019   06:00   21.572   55.367   
1   37   5-8-2019   06:00   19.88   46.733   
1   38   5-8-2019   06:00   19.797   52   
1   39   5-8-2019   06:00   20.861   54.333   
1   40   5-8-2019   06:00   20.62   50.067   
1   41   5-8-2019   06:00   21.148   47.633   
1   42   5-8-2019   06:00   20.002   46.783   
1   43   5-8-2019   06:00   20.853   46.217   
1   44   5-8-2019   06:00   22.242   49.567   
1   45   5-8-2019   06:00   21.049   48.283   
1   46   5-8-2019   06:00   21.195   52.867   
1   47   5-8-2019   06:00   22.854   56.983   
1   48   5-8-2019   06:00   23.369   58.867   
1   49   5-8-2019   06:00   21.418   47.683   
1   50   5-8-2019   06:00   21.759   57.567   
1   51   5-8-2019   06:00   22.996   55.95   
1   52   5-8-2019   06:00   25.284   59.2   
1   53   5-8-2019   06:00   22.463   55.717   
1   54   5-8-2019   06:00   25.259   58.883   
1   55   5-8-2019   06:00   24.936   57.167   
1   56   5-8-2019   06:00   23.441   54.817   
1   57   5-8-2019   06:00   26.401   56.267   
1   58   5-8-2019   06:00   26.589   57.417   
1   59   5-8-2019   06:00   26.718   59.183   
1   60   5-8-2019   06:00   26.718   62.083   
1   61   5-8-2019   06:00   26.388   56.583   
1   62   5-8-2019   06:00   23.802   57.55   
1   63   5-8-2019   06:00   23.396   54.667   
1   64   5-8-2019   06:00   26.277   56.5   
1   65   5-8-2019   06:00   26.097   57.333   
1   66   5-8-2019   06:00   25.079   57.517   
1   67   5-8-2019   06:00   23.375   54.65   
1   68   5-8-2019   06:00   26.362   59.15   
1   69   5-8-2019   06:00   24.184   57.483   
1   70   5-8-2019   06:00   23.854   56.533   
1   71   5-8-2019   06:00   25.953   55.9   
1   72   5-8-2019   06:00   25.685   55.617   
1   73   5-8-2019   06:00   25.382   54.25   
1   74   5-8-2019   06:00   25.657   54.667   
1   75   5-8-2019   06:00   25.339   53.5   
1   76   5-8-2019   06:00   24.801   51.5   
1   77   5-8-2019   06:00   25.153   53.517   
1   78   5-8-2019   06:00   25.61   55.867   
1   79   5-8-2019   06:00   26.645   60.133   
1   80   5-8-2019   06:00   25.991   56.633   
1   81   5-8-2019   06:00   26.436   58.367   
